"Labor","Nivel","AnchoPro","AltoPro","Empresa","Tipo","Fecha","Guardia","AnchoReal","AltoReal","CumplimientoRecomendacion","NivelRiesgo","Condicion","Recomendacion","Sostenimiento","GSI","PorcentajeTabla","TipoSostenimiento","Responsable","Operaciones","Seguridad","Geomecanico","Registro","ProcesoMinado","SostenimientoTope","HastialDerecho","HastialIzquierdo","MallasTraslapadas","MallasRotas"
"STOP 765 S",3300,4,5,"IESA SA","EXPLOTACION","""2015-10-13T05:00:00.000Z""","DIA",5.05,5.05,true,"MEDIO","null","SE RECOMIENDA REALIZAR VOLADURA CONTROLADA PARA MANTENER LA SECCION PROGRAMADA.",true,"MF/P",3,"Shotcrete con fibra (3""). Split Set a 1.00 x 1.00 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.10","1.00","Si","Si"
"STP 369 PISO 12",4050,4,5,"COPSEM","EXPLOTACION","""2015-10-13T05:00:00.000Z""","DIA",5,5,true,"CRITICO","null","REALIZAR EL DESCARGUE DE MALLAS Y REALIZAR VOLADURA CONTROLADA",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","No","1.4","1.30","Si","No"
"STP 660",3420,9,4.5,"COPSEM","EXPLOTACION","""2015-10-13T00:00:00.000Z""","DIA",5.13,5.13,true,"CRITICO","null","SE OBSERVA QUE EL HASTIAL DERECHO SE ENCUENTRA EN VOLADIZO. SE DEBE DE MEJORAR LA DISTRIBUCIÓN DE PERNO A PERNO Y MEJORAR EL TRASLAPE.",true,"MF/R",6,"Shotcrete con fibra (3""). Split Set a 1.00 x 1.00 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","No","1.40","1.40","No","Si"
"Rpa. 7854 E",3420,4.5,4,"COPSEM","AVANCE","""2015-10-14T00:00:00.000Z""","DIA",4.2,4.2,true,"MEDIO","null","EMPLAZADO EN CALIZA GRIS DE MEDIANA RESISTENCIA, PRESENTA DOS DISCONTINUIDADES SUBVERTICALES. RECOMENDACION REALIZAR DESCARFUE DEMALLAS CARGADAS, REALIZAR EL RESANE DE LOS HASTIALES, REALIZAR VOLADURA CONTROLADA",true,"F/R",9,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","Si","1.40","1.30","Si","Si"
"Stp. 369 (PISO 14)",4050,4,5,"COPSEM","EXPLOTACION","""2015-10-14T00:00:00.000Z""","DIA",5.15,5.15,true,"BAJO","null","REALIZAR LA VOLADURA CONTROLADA. SE OBSERVO MALLAS CARGADAS EN EL HASTIAL IZQUIERDO",true,"MF/R",6,"Shotcrete con fibra (3""). Split Set a 1.00 x 1.00 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.50","1.45","Si","No"
"STP 765 S",3300,4,5,"IESA SA","EXPLOTACION","""2015-10-14T00:00:00.000Z""","DIA",5,5,true,"CRITICO","null","SE RECOMIENDA VOLADURA CONTROLADA Y CORTAR MALLAS SUSPENDIDOS DE LOS HASTIALES.",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","No","1.2","1.1","Si","Si"
"Cro 746 N",3300,4.5,4,"IESA SA","EXPLOTACION","""2015-10-15T00:00:00.000Z""","DIA",4.05,4.05,true,"CRITICO","null","SE RECOMIENDA BAJAR LA CARGA OPERANTE EN LOS HASTIALES, SE EVIDENCIA SOBREROTURA DE 30 Cm.",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.00","1.10","Si","No"
"Rpa. 7884",3420,4,4,"COPSEM","EXPLOTACION","""2015-10-15T00:00:00.000Z""","DIA",4.15,4.15,true,"BAJO","null","REALIZAR EL SOSTENIMIENTO DE ACUERDO A LA RECOMENDACION GEOMECANICA A 1.50MTS DEL PISO. LA BARRETILLA DE 8´ ESTA DESGASTADAS LAS UÑAS",true,"F/R",9,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.55","1.50","Si","No"
"Rpa 859",3300,4,4,"IESA SA","EXPLOTACION","""2015-10-16T00:00:00.000Z""","DIA",4.05,4.05,true,"CRITICO","null","SE RECOMIENDA REALIZAR VOLADURA CONTROLADA PARA MANTENER LASECCION PROGRAMADA, REFORZAR SOSTENIMIENTO EN LA INTERSECCION DE LA LABOR.",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","No","1.00","1.10","Si","No"
"Cro 746 N",3300,4.5,4,"IESA SA","EXPLOTACION","""2015-10-16T00:00:00.000Z""","DIA",4,4,true,"BAJO","null","SE RECOMIENDA REALIZAR VOLADURA CONTROLADA PARA MANTENER LA SECCION PROGRAMADA.",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.10","1.00","Si","No"
"RPA. 7884",3420,4,4,"COPSEM","EXPLOTACION","""2015-10-16T00:00:00.000Z""","DIA",4.1,4.1,true,"BAJO","null","MEJORAR EN LA DISTRIBUCION DE SPLIT A SPLIT SET",true,"F/R",9,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","No","1.50","1.45","Si","No"
"Stop. 440 W",2830,4,5,"CIA MINERA ATACOCHA","EXPLOTACION","""2015-10-16T00:00:00.000Z""","DIA",5.3,5.3,true,"CRITICO","null","ROCA CON FRACTURA MODERADAMENTE ALTERADAS, ELIMINARA LAS ROCAS SUSPENDIDAS EN LA MALLA, COMPLETAR DE SOSTENER SEGÚN SE HA RECOMENDADO, MEJORAR EN LA DISTRIBUCION DE SPLIT A SPLIT SET",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","No","1.50","1.60","Si","Si"
"Stp. 369 (PISO 2)",4050,4,5,"COPSEM","EXPLOTACION","""2015-10-21T00:00:00.000Z""","DIA",5.1,5.1,true,"BAJO","null","SE OBSEVAN MALLAS CARGADAS REALIZAR DESCARGUE DE MALLAS CARGADAS",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","Si","1.45","1.40","Si","No"
"Cro 119",3000,4,4,"IESA SA","EXPLOTACION","""2015-10-19T00:00:00.000Z""","DIA",4.4,4.4,true,"CRITICO","null","desate mecanizado, realizar voladura controlada, taladros de alivio, reducir la carga de explosivos en el contorno.",true,"IF/R",0,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.00","1.00","Si","Si"
"Cro. 7912",3420,4.5,4,"COPSEM","EXPLOTACION","""2015-10-21T00:00:00.000Z""","DIA",4.2,4.2,true,"MEDIO","null","CALIZA GRIS, TERRENO RESISTENTE CON VENILLAS DE CALCITA DURO. FALLA FAVORABLE A LA LABOR. RECOMENDACION REALIZAR DESCARGUE DE MALLAS CARGADAS, REFORZAR EL SOSTENIMIENTO, DESATE DE HASTIALES Y REALIZAR VOLADURA CONTROLADA",true,"F/R",9,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.35","1.30","Si","Si"
"Rpa. 544 E",3300,4.5,4,"IESA SA","EXPLOTACION","""2015-10-21T00:00:00.000Z""","DIA",4.05,4.05,true,"MEDIO","null","PRESENCIA DE BARETINA, SE RECOMIENDA REFORZAR ESPACIOS ABIERTOS, REALIZAR TALADROS DE PRE-CORTE PARA MANTENER LA SECCION PROGRAMADA.",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","No","1.00","1.00","Si","Si"
"Stp. 154 N",3600,4,4,"COPSEM","EXPLOTACION","""2015-10-22T00:00:00.000Z""","DIA",5.2,5.2,true,"CRITICO","null","LABOR CON CARGA, DESCARGUE Y DESATE NE LOS HASTIALES Y REFORZAR EL SOSTENIMIENTO",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","No","1.60","1.60","Si","No"
"Cro 7921",3420,4,4,"COPSEM","EXPLOTACION","""2015-10-22T00:00:00.000Z""","DIA",4.3,4.3,true,"MEDIO","null","terreno resistente emplazado en caliza gris de mediana resistencia. SE OBSERVA MALLAS CARGADAS Y FALTA REFORZAR EL SOSTENIMIENTO",true,"F/R",9,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.45","1.50","Si","Si"
"RPA 7884",3420,4,4,"COPSEM","EXPLOTACION","""2015-10-23T00:00:00.000Z""","DIA",4.2,4.2,true,"MEDIO","null","terreno resistente emplazado en caliza gris de mediana resistencia. SE OBSERVA MALLAS CARGADAS Y FALTA REFORZAR EL SOSTENIMIENTO",true,"F/R",9,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.45","1.50","Si","Si"
"CRO 314W",4154,4,4,"COPSEM","EXPLOTACION","""2015-10-23T00:00:00.000Z""","DIA",4.1,4.1,true,"BAJO","null","SE DESCARGO MALLAS CARGADAS DEL TOPE A 10 MTS.",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.48","1.45","Si","No"
"RPA 7880",3420,4,4,"COPSEM","EXPLOTACION","""2015-10-24T00:00:00.000Z""","DIA",4.2,4.2,true,"BAJO","null","SE RECOMIENDA CONTROLAR SECCION DE LA LABOR SEGUN PROGRAMA",true,"F/R",9,"Split Set a 1.50 x 1.50 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.40","1.50","Si","No"
"Gal 624 E",3300,4,4,"IESA SA","EXPLOTACION","""2015-10-24T00:00:00.000Z""","DIA",4,4,true,"MEDIO","null","SE RECOMIENDA CONTINUAR CON LA VOLADURA CONTROLADA.",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.00","1.00","Si","Si"
"STP 154 S",3600,4,5,"COPSEM","EXPLOTACION","""2015-10-25T00:00:00.000Z""","DIA",5.2,5.2,true,"BAJO","null","REALIZAR DESCARGUE DE MALLAS CARGADAS",true,"F/R",9,"Split Set a 1.50 x 1.50 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.50","1.40","Si","No"
"RPA 7840 N",3420,4,4,"COPSEM","EXPLOTACION","""2015-10-25T00:00:00.000Z""","DIA",4.2,4.2,true,"BAJO","null","",true,"F/R",9,"Split Set a 1.50 x 1.50 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.45","1.35","Si","No"
"Gal 624 E",3300,4,4,"IESA SA","EXPLOTACION","""2015-10-25T00:00:00.000Z""","DIA",4,4,true,"BAJO","null","SE RECOMIENDA REALIZAR TALADROS DE PRE-CORTE EN LA CORONA PARA MANTENER EL TECHO DE LA LABOR Y CONTINUAR CON LA VOLADURA.",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.10","1.00","Si","No"
"Rpa 859 N",3300,4,4,"IESA SA","EXPLOTACION","""2015-10-25T00:00:00.000Z""","DIA",4.1,4.1,true,"CRITICO","null","FALTA SOSTENER EL ULTIMO DISPARO, SE RECOMENDO REALIZAR DESATE MECANIZADO EN EL TOPE PARA SOSTENER,REALIAZAR VOLADURA CONTROLADA.",true,"MF/P",3,"Shotcrete con fibra (3""). Split Set a 1.00 x 1.00 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","No","1.00","1.00","Si","No"
"RPA 7854",3420,4.5,4,"COPSEM","EXPLOTACION","""2015-10-27T00:00:00.000Z""","DIA",4.15,4.15,true,"BAJO","null","MEJORAR LA DISTRIBUCION DE LOS ELEMENTOS DE SOSTENIMIENTO",true,"F/R",9,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.5","1.4","Si","No"
"Cro 746 N",3300,4.5,4,"IESA SA","EXPLOTACION","""2015-10-27T00:00:00.000Z""","DIA",4,4,true,"CRITICO","null","PRESENCIA DE AGUA POR GOTEO SE RECOMIENDA REALIZAR VOLADURA CONTROLADA, SE DEBE REALIZAR TALADROS DE PRE-CORTE.",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","No","1.00","1.00","Si","No"
"Rpa 859 N",3300,4,4,"IESA SA","EXPLOTACION","""2015-10-28T00:00:00.000Z""","DIA",4.05,4.05,true,"BAJO","null","SE RECOMIENDA CONTINUAR CON LA VOLADURA CONTROLADA, CONTINUAR REALIZANDO LOS TALADROS DE PRE-CORTE EN LA CORONA PAR MANTENER LA SECCION PROGRAMADA.",true,"MF/R",6,"Shotcrete con fibra (3""). Split Set a 1.00 x 1.00 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.00","1.00","Si","Si"
"RPA 7854",3420,4.5,4,"COPSEM","EXPLOTACION","""2015-10-28T00:00:00.000Z""","DIA",4.3,4.3,true,"CRITICO","null","REQUIERE REFORZAR EL HASTIAL DERECHO A UNOS 10 MTS DEL TOPE, DESCARGAR MALLAS CON CARGA",true,"F/R",9,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","No","1.45","1.30","Si","Si"
"RPA 389",4050,4.5,4,"COPSEM","EXPLOTACION","""2015-10-28T00:00:00.000Z""","DIA",5.2,5.2,true,"CRITICO","null","DESQUINCHAR BANCOS Y DESCARGAR MALLAS, CONTROLAR LA SECCION PROGRAMADA Y REALIZAR EL SOSTENIMIENTO INMEDIATAMENTE DESPUES DE LA LIMPIEZA",true,"MF/R",6,"Shotcrete con fibra (3""). Split Set a 1.00 x 1.00 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","No","1.00","1.20","Si","No"
"STP 355",4154,4,4,"COPSEM","EXPLOTACION","""2015-10-28T00:00:00.000Z""","DIA",4.2,4.2,true,"CRITICO","null","REQUIERE DESCARGAR MALLAS CONCARGA Y CORTAR SPLIT SETS SOBRESALIDOS",true,"F/R",9,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","No","1.40","1.20","Si","Si"
"STP. 160 S",2890,4,5,"CIA MINERA ATACOCHA","EXPLOTACION","""2015-10-29T00:00:00.000Z""","DIA",5,5,true,"CRITICO","null","EN LA INTERSECCIÓN, DEL LADO SUR SE OBSEREVA MALLAS COLGADAS  Y MALLAS CARGADAS, SE DEBE DE DESCARAGAR MALLA Y SE DEBE DE REFORZAR EL SOSTENIMIENTO. HACIA EL TOPE PRESENCIA DE FALLAS PARALELAS A LA LABOR QUE ESTÁN FORMANDO CUÑAS, DESESTABILIZANDO LA LABOR SOBRE TODO EL HASTIAL IZQUIERDO. SE OBSERVA MALLAS COLGADAS, MARTÍNEZ A COLOCADO SOSTENIMIENTO, SIN CUMPLIR EL PROCEDIMIENTO. SPLIT SETS PARALELO A LAS FALLAS, MAL TRASLAPE, EN AMBOS HASTIALES MALLAS COLGADAS. SE DEBE DE REFORZAR EL SOSTENIMIENTO, NECESITA HACER UN DESATE MINUCIOSO, TANTO EN HASTIALES Y CORONA. DESDE EL INGRESO A LA LABOR.",true,"MF/R",6,"Shotcrete con fibra (3""). Split Set a 1.00 x 1.00 m. Malla electrosoldada.",,"Root","Root","Root",,"SIN PERSONAL","No","1.50","1.50","No","Si"
"STP. 116",2890,4,5,"CIA MINERA ATACOCHA","EXPLOTACION","""2015-10-29T00:00:00.000Z""","DIA",5,5,true,"CRITICO","null","NECESITA REFORZAR EL SOSTENIMIENTO EN LA INERSECCIÓN, SE EVIDENCIA MALLAS CARGADAS DESDE EL INGRESO, DESCARGAR Y REFORZAR EL SOSTENIMIENTO. HACIA EL SUR CONTINUAR RELLENANDO. HACIA EL LADO NORTE, SE DEBE DE MEJORAR LA VOLADURA, PUES EL DISPARO A REMANGADO TODO EL PAÑO DE MALLA, SE DEBE DE REFORZAR. EN LA ZONA ANCHA, SE DEBE DE RELLENAR HACIA EL TOPE PORQUE SE ESTÁ DESESTABILIZANDOSE, LA CORONA POR EL ANCHO DE LA SECCIÓN TIENE 9.30 M. EN EL SUBNIVEL QUE SE ESTÁ CORRIENDO SE OBSERVA MALLAS CARGADAS. DESDE EL INGRESO, LA E. MARTÍNEZ NO ESTÁ HACIENDO UNA BUENA DISTRIBUCIÓN DE PERNO A PERNO,  SE DEBE DE REDUCIR LA SECCIÓN.",true,"MF/R",6,"Shotcrete con fibra (3""). Split Set a 1.00 x 1.00 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","No","1.50","1.40","No","Si"
"Cro746 N",3300,4.5,4,"IESA SA","EXPLOTACION","""2015-10-29T00:00:00.000Z""","DIA",4.1,4.1,true,"CRITICO","null","PRESENCIA DE AGUA POR GOTEO, SE RECOMIENDA REFORZAR SOSTENIMIENTO DE ESPACIOS BIERTOS LOS HASTIALES , CONTINUAR CON LA VOLADUREA CONTROLADA.",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"SIN PERSONAL","No","S/D","S/D","Si","No"
"STOP 765 N",3300,4,5,"IESA SA","EXPLOTACION","""2015-10-29T00:00:00.000Z""","DIA",5.3,5.3,true,"CRITICO","null","SE RECOMIENDA REALIZAR VOLADURA CONTROLADA PARA EVITAR SOBREROTURA, REALIZAR TALADROS DE PRE-CORTE EN LA CORONA PARA MANTENER LA SECCION PROGRAMADA.",true,"MF/MP",0,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.00","1.00","Si","Si"
"RPA 7854 E",3420,4.5,4,"COPSEM","EXPLOTACION","""2015-10-29T00:00:00.000Z""","DIA",4.2,4.2,true,"MEDIO","null","REQUIERE CAMPAÑA DE DESATADO DE ROCAS EN LOS HASTIALES",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.10","1.30","Si","Si"
"ST. 996 BAY PASS",3540,4,5,"CIA MINERA ATACOCHA","EXPLOTACION","""2015-10-30T00:00:00.000Z""","DIA",4.2,4.2,true,"CRITICO","null","LA E. E. MARTÍNEZ A INSTALADO EN EL HASTIAL DERECHO LA MALLA MUY ALTO, SE DEBE DE BAJAR DE ACUERDOA ESTÁNDAR. SE ESTÁ COLOCANDO CHAPAS PEQUEÑAS AL SPLIT SET. SE COLOCÓ 2 PAÑOS. SE ESTÁ REALIZANDO UN MAL TRASLAPE, SE DEBE DE CONTROLAR LA GRADIENTE Y NO LEVANTAR MUCHO LA ALTURA DE LA LABOR. SE DEBE DE MEJORAR LA VOLADURA, EL DISPARO ESTÁ REMANGANDO LA MALLA, SE DEBE DE RESANAR EL SOSTENIMIENTO. MEJORAR LA DISTRIBUCIÓN DE LOS ELEMENTOS DE SOSTENIMIENTO.",true,"MF/P",3,"Shotcrete con fibra (3""). Split Set a 1.00 x 1.00 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","No","1.80","1.40","No","Si"
"STP 369 - PISO 2",4050,4,5,"COPSEM","EXPLOTACION","""2015-10-30T00:00:00.000Z""","DIA",5.1,5.1,true,"BAJO","null","A 10 MTS DEL TOPE FALTA DESCARGAR MALLAS LUEGO RESANAR LAS MALLAS ROTAS",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.45","1.50","Si","No"
"Gal 598 E",3300,4,4,"IESA SA","EXPLOTACION","""2015-10-31T00:00:00.000Z""","DIA",4.1,4.1,true,"BAJO","null","SE REFORZO SOSTENIMIENTO EN TODO EL ACCESO DEL CRO 746 N UN 90%, SE RECOMIENDA CONTINUAR CON LA VOLADURA CONTROLADA.",true,"MF/R",6,"Shotcrete con fibra (3""). Split Set a 1.00 x 1.00 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.10","1.10","Si","No"
"STOP 765 N",3300,4,5,"IESA SA","EXPLOTACION","""2015-10-31T00:00:00.000Z""","DIA",5.1,5.1,true,"CRITICO","null","SE RECOMIENDA REALIZAR LOS TALADROS DE RE-CORTE EN LA CORONA PARA MANTENER EL ARCO DE AUTOSOPORTE.",true,"MF/MP",0,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.00","1.00","Si","Si"
"CRO 314",4154,4,4,"COPSEM","EXPLOTACION","""2015-10-31T00:00:00.000Z""","DIA",4.9,4.9,true,"CRITICO","null","DESCARGUE DE BANCOS Y ROCAS EN LAS MALLAS (TANTO EN CORONA COMO HASTIALES). CONTROLAR LA P/V PARA CUMPLIR CON LA SECCION PROGRAMADA.",true,"IF/R",0,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","No","0.90","1.00","Si","No"
"Rpa 544 E",3300,4.5,4,"IESA SA","EXPLOTACION","""2015-11-01T00:00:00.000Z""","DIA",4.1,4.1,true,"MEDIO","null","SE RECOMIENDA REALIZAR TALADROS DE  RECORTE EN LA CORONA PARA MANTENER EL ARCO DE AUTOSOPORTE.",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.00","1.00","Si","Si"
"STOP 765 N",3300,4,5,"IESA SA","EXPLOTACION","""2015-11-01T00:00:00.000Z""","DIA",5.1,5.1,true,"CRITICO","null","SE RECOMIENDA REALIZAR TALADROS DE RECORTE EN LA CORONA, SE EVIDENCIA DESLIZAMIENTO EN EL HASTIAL IZQUIERDO DEBIDO A LA FALLA.",true,"MF/MP",0,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.00","1.00","Si","Si"
"RPA 7854",3420,4.5,4,"COPSEM","EXPLOTACION","""2015-11-01T00:00:00.000Z""","NOCHE",4.3,4.3,true,"CRITICO","null","SE OBSERVA EN EL HASTIAL DERECHO  UNA CUÑA, SE PERCUTA Y SE HACE CAER LA CUÑA, FALTA REFORZAR EL SOSTENIMIENTO DEL DESCARGUE QUE SE REALIZO.",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.50","1.55","Si","Si"
"Stop 116 S/NV_N2",2890,4,5,"CIA MINERA ATACOCHA","AVANCE","""2015-11-03T00:00:00.000Z""","DIA",5.1,5.1,true,"CRITICO","null","_x000D_\nRoca fracturada, formación cuñas en corona y hastiales producto del fractura miento de las cajas y estructura que defines cuñas, sostenimiento con Split de 7’ a 1.20X1.20m con malla hasta 1.50m del piso._x000D_\n",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"SIN PERSONAL","No","1.50","1.80","Si","Si"
"Stop 160 N",2890,4,5,"CIA MINERA ATACOCHA","EXPLOTACION","""2015-11-03T00:00:00.000Z""","DIA",5.4,5.4,true,"CRITICO","null","_x000D_\nRoca fracturada, formación cuñas en corona y hastiales producto del fracturas tanto en cajas y estructura, filtracion de agua por los split set y fracturas, sostenimiento con Split set de 7’ a 1.00X1.00m con malla hasta 1.50m del piso._x000D_\n",true,"MF/R",6,"Shotcrete con fibra (3""). Split Set a 1.00 x 1.00 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","No","2.90","2.60","Si","Si"
"Stop 765 N",3300,4,5,"IESA SA","EXPLOTACION","""2015-11-03T00:00:00.000Z""","DIA",5.1,5.1,true,"CRITICO","null","SE RECONMIENDA REALIZAR VOLADURA CONTROLADA, REFORZAR SOSTENIMIENTO DE ESPACIOS ABIERTOS DE MALLA, SE EVIDENCIA SOBRE ROTURA DE 30CM POR EL TIPO DE ROCA.",true,"MF/MP",0,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.10","1.10","Si","Si"
"RPA 7880",3420,4,4,"COPSEM","EXPLOTACION","""2015-11-03T00:00:00.000Z""","DIA",4.4,4.4,true,"CRITICO","null","SE RECOMIENDA REFORZAR EL SOSTENIMIENTO",true,"F/R",9,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"SIN PERSONAL","No","1.40","1.30","Si","No"
"Gl. 624 W",3300,4.5,4,"IESA SA","AVANCE","""2015-11-04T00:00:00.000Z""","DIA",4,4,true,"CRITICO","null","COMPLETAR SOSTENIMIENTO DEL ULTIMO DISPARO REALIZADO.",true,"MF/R",6,"Perno Helicoidal a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","No","1.0","1.0","Si","No"
"STP 995",3600,4,5,"CIA MINERA ATACOCHA","EXPLOTACION","""2015-11-04T00:00:00.000Z""","DIA",5.5,5.5,true,"CRITICO","null","Sostenimiento con Split de 7’ a 1.20x1.20m con malla hasta 1.50m del piso, control de perforación y voladura para no debilitar el puente de 4.00m recomendado",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","2.5","2.0","Si","Si"
"STP 765 N",3300,4,5,"IESA SA","EXPLOTACION","""2015-11-04T00:00:00.000Z""","DIA",5.03,5.03,true,"CRITICO","null","SE RECOMIENDA REALIZAR VOLADURA CONTROLADA , EN LA CORONA DE LA SECCION REALIZAR TALADROS DE RE CORTE PARA MANTENER EL ARCO DE AUTOSOPORTE.",true,"MF/MP",0,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.00","1.00","Si","No"
"STP 154",3600,4,4,"COPSEM","EXPLOTACION","""2015-11-05T00:00:00.000Z""","DIA",4.3,4.3,true,"BAJO","null","SE RECOMIENDA DESATAR MALLAS CARGADAS Y LLEVAR LA SECCION",true,"F/R",9,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.00","1.00","Si","No"
"RPA 7840 S",3420,4.5,4,"COPSEM","EXPLOTACION","""2015-11-06T00:00:00.000Z""","DIA",4.15,4.15,true,"BAJO","null","SE RECOMIENDA REALIZAR DESCARGUE DE MALLA CONSTANTE",true,"F/R",9,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.50","1.45","Si","No"
"Rpa 910 S",3300,4.5,4,"IESA SA","AVANCE","""2015-11-06T00:00:00.000Z""","DIA",4.1,4.1,true,"CRITICO","null","SE RECOMIENDA SOSTENIMIENTO CON PERNO HELICOIDAL, DESCARGUE DE BANCOS SUELTOS SOBRE LA MALLA, REFORZAR SOSTENIMIENTO EN EL HASTIAL IZQUIERDO.",true,"MF/R",6,"Perno Helicoidal a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","No","1.10","1.00","Si","Si"
